Consumption DK areas in MWh,,,
Data was last updated 07-04-2022,,,
,DK1,DK2,DK
01-01-2022,52783,35066,87849
02-01-2022,55637,36873,92512
03-01-2022,66584,41264,107847
04-01-2022,68454,43056,111505
05-01-2022,71920,45167,117087
06-01-2022,72091,45855,117944
07-01-2022,70465,45758,116217
08-01-2022,62162,41192,103355
09-01-2022,62739,41721,104453
10-01-2022,69299,44324,113618
11-01-2022,71001,45541,116540
12-01-2022,70095,43936,114034
13-01-2022,71651,42451,114105
14-01-2022,68392,42582,110975
15-01-2022,59373,41023,100396
16-01-2022,60039,39874,99915
17-01-2022,71251,43912,115167
18-01-2022,66274,44378,110654
19-01-2022,72123,44794,116914
20-01-2022,74579,46309,120887
21-01-2022,69969,45091,115061
22-01-2022,60868,41970,102840
23-01-2022,55813,38371,94189
24-01-2022,65671,41965,107634
25-01-2022,63452,42110,105559
26-01-2022,67887,44121,112006
27-01-2022,72457,43663,116122
28-01-2022,68020,43221,111240
29-01-2022,61207,40193,101402
30-01-2022,59010,39962,98974
31-01-2022,65757,43907,109665
01-02-2022,69306,45001,114309
02-02-2022,70499,44631,115128
03-02-2022,66982,43954,110938
04-02-2022,65910,42823,108733
05-02-2022,63254,41493,104745
06-02-2022,60352,39407,99756
07-02-2022,71523,44017,115539
08-02-2022,70467,42873,113340
09-02-2022,69208,42776,111987
10-02-2022,67672,42581,110256
11-02-2022,67718,43451,111169
12-02-2022,62485,40150,102634
13-02-2022,62992,39785,102776
14-02-2022,69413,41962,111376
15-02-2022,69839,41760,111599
16-02-2022,72500,42825,115325
17-02-2022,70067,42602,112672
18-02-2022,69359,43454,112814
19-02-2022,62918,40238,103158
20-02-2022,61433,39133,100566
21-02-2022,70549,43415,113967
22-02-2022,70755,43442,114197
23-02-2022,70629,42592,113220
24-02-2022,71009,43644,114651
25-02-2022,69403,44217,113619
26-02-2022,57520,39717,97237
27-02-2022,56828,40063,96890
28-02-2022,66628,43818,110448
01-03-2022,66998,43735,110736
02-03-2022,66189,42758,108944
03-03-2022,64979,42513,107488
04-03-2022,62861,42374,105238
05-03-2022,56618,39925,96541
06-03-2022,54351,38965,93319
07-03-2022,63210,41557,104768
08-03-2022,63772,42738,106511
09-03-2022,65062,43026,108090
10-03-2022,67122,42062,109182
11-03-2022,67412,41572,108986
12-03-2022,56931,37482,94413
13-03-2022,54761,36294,91054
14-03-2022,63157,39735,102892
15-03-2022,62844,41313,104159
16-03-2022,65188,41165,106349
17-03-2022,66814,41690,108501
18-03-2022,59714,40361,100078
19-03-2022,55287,36466,91751
20-03-2022,55937,36706,92643
21-03-2022,62295,39026,101321
22-03-2022,62449,39549,101992
23-03-2022,61841,39549,101391
24-03-2022,60608,39166,99775
25-03-2022,56777,36773,93546
26-03-2022,51559,33812,85370
27-03-2022,47720,32610,80329
28-03-2022,59685,36617,96300
29-03-2022,61550,38468,100020
30-03-2022,63146,41283,104426
31-03-2022,64335,41087,105426
01-04-2022,62187,40170,102359
02-04-2022,55218,36948,92168
03-04-2022,54438,36570,91011
04-04-2022,67944,41197,109142
05-04-2022,64509,40150,104660
06-04-2022,66717,40856,107567
07-04-2022,29767,16659,46428
