Elspot Prices in DKK/MWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 10-03-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,TromsÃ¸,EE,EE,LV,LV,LT,LT,AT,AT,BE,BE,DE-LU,DE-LU,FR,FR,NL,NL
01-01-2020,"219,74","207,20","207,20","207,20","207,20","207,20","231,49","231,49","231,10","231,10","231,10","207,20","207,20","207,20",,"207,20",,"207,20",,"207,20",,,,,,,,,,
02-01-2020,"219,92","199,94","199,94","199,94","199,94","199,94","228,43","286,47","230,25","230,25","230,25","199,94","199,94","199,94",,"199,94",,"199,94",,"199,94",,,,,,,,,,
03-01-2020,"198,43","169,12","169,12","169,12","169,12","169,12","173,61","193,34","218,21","218,21","218,21","169,46","169,46","169,46",,"179,39",,"179,39",,"179,39",,,,,,,,,,
04-01-2020,"198,05","158,18","158,18","158,18","158,18","158,18","147,00","148,37","215,81","215,81","215,81","181,43","181,43","181,15",,"179,07",,"179,07",,"179,07",,,,,,,,,,
05-01-2020,"225,55","221,59","221,59","221,59","221,59","221,59","229,77","244,20","229,41","229,41","229,41","221,59","221,59","214,45",,"247,04",,"247,04",,"247,04",,,,,,,,,,
06-01-2020,"224,53","221,25","221,25","221,25","222,54","221,25","231,23","229,59","227,43","227,43","227,43","221,25","221,25","221,25",,"225,41",,"225,41",,"225,41",,,,,,,,,,
07-01-2020,"219,43","215,16","215,16","217,80","249,70","217,80","250,34","253,76","221,23","221,23","221,23","214,32","214,32","214,32",,"249,70",,"249,70",,"249,70",,,,,,,,,,
08-01-2020,"179,16","166,31","166,31","168,00","177,93","168,00","182,64","183,81","199,58","199,58","199,58","184,99","184,99","184,99",,"179,31",,"179,31",,"179,31",,,,,,,,,,
09-01-2020,"200,94","192,26","192,26","209,22","240,33","209,22","252,73","252,73","205,23","205,23","205,23","191,63","191,63","190,60",,"244,11",,"244,11",,"244,11",,,,,,,,,,
10-01-2020,"206,15","196,79","196,79","236,94","236,94","264,85","242,98","242,98","209,66","209,66","209,44","196,79","196,79","196,79",,"269,26",,"269,26",,"269,26",,,,,,,,,,
11-01-2020,"187,25","186,15","186,15","186,17","186,17","186,17","191,51","191,51","188,61","188,61","188,61","186,15","186,15","186,15",,"186,17",,"186,17",,"186,17",,,,,,,,,,
12-01-2020,"177,17","170,86","170,86","170,86","170,86","170,86","171,07","171,07","184,25","184,25","184,25","171,05","171,05","171,05",,"171,81",,"171,81",,"171,81",,,,,,,,,,
13-01-2020,"196,88","188,34","188,34","213,94","263,32","219,39","254,28","264,07","201,69","201,69","201,69","188,34","188,34","188,34",,"264,82",,"264,82",,"264,82",,,,,,,,,,
14-01-2020,"176,06","170,17","170,17","170,92","170,92","172,04","159,76","171,41","183,11","183,11","183,11","176,35","176,35","176,35",,"215,08",,"215,08",,"215,08",,,,,,,,,,
15-01-2020,"177,24","168,05","168,05","169,04","169,04","183,09","156,89","156,89","184,06","184,06","184,06","175,78","175,78","175,78",,"202,03",,"202,03",,"202,03",,,,,,,,,,
16-01-2020,"183,21","181,19","181,19","181,74","199,73","254,16","184,43","199,73","183,06","183,06","183,06","181,19","181,19","181,19",,"256,41",,"256,41",,"256,41",,,,,,,,,,
17-01-2020,"183,44","182,61","182,61","182,69","192,51","235,29","198,65","198,65","182,69","182,69","182,69","182,61","182,61","182,61",,"260,50",,"260,50",,"260,50",,,,,,,,,,
18-01-2020,"173,60","173,63","173,63","173,63","173,63","173,63","173,63","173,63","173,82","173,82","173,82","173,63","173,63","173,63",,"173,63",,"173,63",,"173,63",,,,,,,,,,
19-01-2020,"171,22","170,75","170,75","170,75","229,62","170,75","201,43","229,62","170,75","170,75","170,75","170,75","170,75","170,75",,"229,62",,"229,62",,"229,62",,,,,,,,,,
20-01-2020,"170,02","168,46","168,46","169,72","275,50","170,19","173,81","275,62","171,27","171,27","171,27","168,46","168,46","168,46",,"278,78",,"278,78",,"278,78",,,,,,,,,,
21-01-2020,"156,17","155,04","155,04","155,69","176,61","156,72","155,93","176,69","157,47","157,47","157,47","155,04","155,04","155,04",,"210,73",,"210,73",,"210,73",,,,,,,,,,
22-01-2020,"158,14","150,52","150,52","155,17","277,12","190,55","181,19","303,40","162,25","162,25","162,25","150,52","150,52","150,52",,"277,57",,"277,57",,"277,57",,,,,,,,,,
23-01-2020,"154,99","152,22","152,22","155,11","271,62","300,95","155,79","271,62","155,11","155,11","155,11","152,22","152,22","152,22",,"305,24",,"305,24",,"305,24",,,,,,,,,,
24-01-2020,"147,23","144,82","144,82","147,68","147,68","192,96","148,16","148,16","149,20","149,20","149,20","144,82","144,82","144,82",,"193,75",,"193,75",,"193,75",,,,,,,,,,
25-01-2020,"153,35","152,04","152,04","152,04","166,70","169,87","174,07","178,96","153,35","153,35","153,35","152,04","152,04","152,04",,"179,65",,"179,65",,"179,65",,,,,,,,,,
26-01-2020,"149,13","149,04","149,04","149,04","149,04","156,60","149,04","149,04","149,04","149,04","149,04","149,04","149,04","149,04",,"172,98",,"172,98",,"172,98",,,,,,,,,,
27-01-2020,"156,33","156,97","156,97","157,87","157,87","221,34","157,87","157,87","155,32","155,32","155,32","156,97","156,97","156,97",,"316,54",,"316,54",,"316,54",,,,,,,,,,
