Production DK areas in MWh,,,
Data was last updated 01-01-2020,,,
,DK1,DK2,DK
01-01-2018,61457,30792,92249
02-01-2018,58454,26474,84928
03-01-2018,60587,28418,89005
04-01-2018,49163,27377,76540
05-01-2018,38509,27207,65716
06-01-2018,41712,24065,65777
07-01-2018,41328,22664,63992
08-01-2018,47107,27944,75051
09-01-2018,84394,38433,122827
10-01-2018,65338,31243,96581
11-01-2018,55384,32757,88141
12-01-2018,69389,35166,104555
13-01-2018,70466,32833,103299
14-01-2018,72430,34150,106580
15-01-2018,98516,40668,139184
16-01-2018,60797,37185,97982
17-01-2018,48442,35190,83632
18-01-2018,45041,33414,78455
19-01-2018,48381,28807,77188
20-01-2018,51382,27501,78883
21-01-2018,42992,24859,67851
22-01-2018,68118,35846,103964
23-01-2018,77102,33976,111078
24-01-2018,95293,39141,134434
25-01-2018,77869,33493,111362
26-01-2018,46213,29689,75902
27-01-2018,65302,33478,98780
28-01-2018,75682,35866,111548
29-01-2018,91067,41340,132407
30-01-2018,85258,40448,125706
31-01-2018,88172,38428,126600
01-02-2018,81967,40807,122774
02-02-2018,77503,33097,110600
03-02-2018,66550,28563,95113
04-02-2018,85035,34783,119818
05-02-2018,56231,33311,89542
06-02-2018,58901,33371,92272
07-02-2018,74150,33301,107451
08-02-2018,78048,32242,110290
09-02-2018,84193,35310,119503
10-02-2018,69813,28584,98397
11-02-2018,94459,37976,132435
12-02-2018,94180,40269,134449
13-02-2018,63412,33458,96870
14-02-2018,79683,32736,112419
15-02-2018,97135,40545,137680
16-02-2018,66617,39556,106173
17-02-2018,44894,31483,76377
18-02-2018,61837,31019,92856
19-02-2018,59279,35139,94418
20-02-2018,67088,35590,102678
21-02-2018,57192,34496,91688
22-02-2018,57575,36048,93623
23-02-2018,54755,35734,90489
24-02-2018,55266,40119,95385
25-02-2018,62489,34267,96756
26-02-2018,85547,39509,125056
27-02-2018,117100,43687,160787
28-02-2018,110981,45710,156691
01-03-2018,104523,41550,146073
02-03-2018,100444,36184,136628
03-03-2018,77659,30358,108017
04-03-2018,83505,32229,115734
05-03-2018,98555,33047,131602
06-03-2018,69281,31690,100971
07-03-2018,72999,31082,104081
08-03-2018,56252,29447,85699
09-03-2018,58039,33131,91170
10-03-2018,78140,34118,112258
11-03-2018,83456,31642,115098
12-03-2018,63787,33310,97097
13-03-2018,67199,33684,100883
14-03-2018,58722,33496,92218
15-03-2018,87409,49030,136439
16-03-2018,100779,54986,155765
17-03-2018,87156,47450,134606
18-03-2018,60233,44105,104338
19-03-2018,78366,33229,111595
20-03-2018,72207,41700,113907
21-03-2018,84033,39756,123789
22-03-2018,60123,37493,97616
23-03-2018,73111,34664,107775
24-03-2018,64861,32831,97692
25-03-2018,46000,27016,73016
26-03-2018,63697,34891,98588
27-03-2018,73893,35275,109168
28-03-2018,100834,45308,146142
29-03-2018,92391,39998,132389
30-03-2018,65895,32559,98454
31-03-2018,74648,39337,113985
01-04-2018,63163,34703,97866
02-04-2018,51517,32033,83550
03-04-2018,78037,30976,109013
04-04-2018,63748,32874,96622
05-04-2018,81165,35185,116350
06-04-2018,74557,34706,109263
07-04-2018,58509,30230,88739
08-04-2018,40514,25928,66442
09-04-2018,46724,26373,73097
10-04-2018,81540,36353,117893
11-04-2018,91040,37519,128559
12-04-2018,94687,36669,131356
13-04-2018,93319,38838,132157
14-04-2018,46430,22446,68876
15-04-2018,34882,22515,57397
16-04-2018,42626,26669,69295
17-04-2018,43553,25723,69276
18-04-2018,53389,23401,76790
19-04-2018,39177,17047,56224
20-04-2018,55152,23952,79104
21-04-2018,46196,15585,61781
22-04-2018,27942,16704,44646
23-04-2018,75106,27043,102149
24-04-2018,74723,29407,104130
25-04-2018,50853,22363,73216
26-04-2018,56706,26829,83535
27-04-2018,45410,24981,70391
28-04-2018,26757,16892,43649
29-04-2018,22249,16747,38996
30-04-2018,56814,25209,82023
01-05-2018,38837,30786,69623
02-05-2018,60608,25738,86346
03-05-2018,59822,24037,83859
04-05-2018,33622,19606,53228
05-05-2018,20255,14438,34693
06-05-2018,19747,14220,33967
07-05-2018,36880,17662,54542
08-05-2018,42652,18346,60998
09-05-2018,51490,22006,73496
10-05-2018,37365,15643,53008
11-05-2018,28790,14880,43670
12-05-2018,18644,10530,29174
13-05-2018,33342,18194,51536
14-05-2018,30564,18738,49302
15-05-2018,27511,16919,44430
16-05-2018,41759,14511,56270
17-05-2018,42874,14657,57531
