Wind power DK in MWh,,
Data was last updated 10-03-2022,,
,DK1,DK2
01-01-2021,2014,3186
02-01-2021,3211,1388
03-01-2021,23996,12895
04-01-2021,35346,17159
05-01-2021,42167,15880
06-01-2021,46273,12682
07-01-2021,23306,3334
08-01-2021,16146,2887
09-01-2021,7515,1684
10-01-2021,31163,11510
11-01-2021,56498,18349
12-01-2021,41703,11444
13-01-2021,47018,19735
14-01-2021,20854,9127
15-01-2021,8469,5772
16-01-2021,6491,2087
17-01-2021,15466,2060
18-01-2021,21726,6839
19-01-2021,17194,9840
20-01-2021,55957,18313
21-01-2021,67618,21109
22-01-2021,61463,19453
23-01-2021,26035,4298
24-01-2021,3541,1178
25-01-2021,3797,3318
26-01-2021,10526,3433
27-01-2021,12934,4678
28-01-2021,9985,7576
29-01-2021,20727,3383
30-01-2021,13048,3290
31-01-2021,16521,9530
01-02-2021,8928,3297
02-02-2021,6453,594
03-02-2021,62360,14019
04-02-2021,46581,9591
05-02-2021,52081,11448
06-02-2021,57742,18696
07-02-2021,60272,22413
08-02-2021,58088,23703
09-02-2021,59888,21169
10-02-2021,34440,11347
11-02-2021,28782,5354
12-02-2021,9336,4213
13-02-2021,1794,1235
14-02-2021,21960,1922
15-02-2021,46919,13648
16-02-2021,22417,3573
17-02-2021,18031,8588
18-02-2021,46991,11045
19-02-2021,36159,12282
20-02-2021,52173,11183
21-02-2021,31208,6301
22-02-2021,26067,6073
23-02-2021,28344,7972
24-02-2021,67640,16860
25-02-2021,57508,14386
26-02-2021,63757,14914
27-02-2021,25431,6673
28-02-2021,29005,4241
01-03-2021,27484,1833
02-03-2021,9331,619
03-03-2021,10295,1469
04-03-2021,29347,6726
05-03-2021,7059,2874
06-03-2021,70038,13943
07-03-2021,40632,13757
08-03-2021,4449,917
09-03-2021,4377,1305
10-03-2021,51037,9032
11-03-2021,72634,22923
12-03-2021,61672,19726
13-03-2021,27681,15299
14-03-2021,45341,13770
15-03-2021,42568,13819
16-03-2021,15170,3950
17-03-2021,9191,1107
18-03-2021,8356,3117
19-03-2021,17886,5006
20-03-2021,55474,12441
21-03-2021,37462,10394
22-03-2021,36055,6151
23-03-2021,22714,6376
24-03-2021,35717,6336
25-03-2021,23679,3098
26-03-2021,39229,7831
27-03-2021,26681,13442
28-03-2021,40544,14074
29-03-2021,52251,16143
30-03-2021,42362,9694
31-03-2021,17593,2148
01-04-2021,26182,6583
02-04-2021,39789,8245
03-04-2021,12412,6364
04-04-2021,60234,12188
05-04-2021,62067,18859
06-04-2021,67330,17289
07-04-2021,37201,13616
08-04-2021,52787,16178
09-04-2021,69638,16066
10-04-2021,29057,3458
11-04-2021,25617,11561
12-04-2021,46407,12146
13-04-2021,34191,13312
14-04-2021,12832,2580
15-04-2021,13190,3525
16-04-2021,17316,4513
17-04-2021,28598,3855
18-04-2021,15711,3258
19-04-2021,8611,3802
20-04-2021,7137,2468
21-04-2021,56802,12498
22-04-2021,57015,14792
23-04-2021,39026,9486
24-04-2021,21881,3700
25-04-2021,19408,7873
26-04-2021,4587,1158
27-04-2021,6134,1083
28-04-2021,7756,7437
29-04-2021,34909,12202
30-04-2021,9732,3419
01-05-2021,7118,3400
02-05-2021,9373,2075
03-05-2021,20734,7836
04-05-2021,42323,15508
05-05-2021,27275,19099
06-05-2021,23644,17196
07-05-2021,15744,7848
08-05-2021,26825,6983
09-05-2021,43913,14863
10-05-2021,35469,8594
11-05-2021,14385,8529
12-05-2021,11809,4862
13-05-2021,5916,4984
14-05-2021,6009,3207
15-05-2021,19394,3825
16-05-2021,5590,1765
17-05-2021,5401,867
18-05-2021,8657,1806
19-05-2021,19998,2539
20-05-2021,43984,6418
21-05-2021,31995,4816
22-05-2021,45110,14674
23-05-2021,56306,15801
24-05-2021,27813,9383
25-05-2021,11606,3407
26-05-2021,30432,10441
27-05-2021,25463,3811
28-05-2021,11576,2964
29-05-2021,6703,2827
30-05-2021,2911,451
31-05-2021,5982,1254
01-06-2021,6607,2758
02-06-2021,25269,7325
03-06-2021,49775,11649
04-06-2021,13566,6100
05-06-2021,10749,5361
06-06-2021,4462,2096
07-06-2021,7595,627
08-06-2021,14112,1113
09-06-2021,9666,697
10-06-2021,7154,536
11-06-2021,22698,1943
12-06-2021,52705,12777
13-06-2021,44275,13598
14-06-2021,42922,5059
15-06-2021,25527,2304
16-06-2021,7461,3260
17-06-2021,30722,7338
18-06-2021,11579,3718
19-06-2021,19355,3817
20-06-2021,30585,5813
21-06-2021,19816,4110
22-06-2021,20630,5190
23-06-2021,7647,1510
24-06-2021,8205,549
25-06-2021,6338,813
26-06-2021,7852,844
27-06-2021,15245,879
28-06-2021,9606,279
29-06-2021,8820,780
30-06-2021,10115,4047
01-07-2021,30697,5002
02-07-2021,6982,6905
